読み	方言	標準語	標準語の読み	地域
あずましい	あずましい	【心地よい・落ち着く】	ここちよい	青森・北海道
おしょうしな	おしょうしな	【ありがとう】	ありがとう	山形
おどげでねぇ	おどげでねえ	【大変だ・途方もない】	たいへんだ	宮城
け	け	【食べて・おいで】	たべて	東北
く	く	【食べる】	たべる	東北
だだちゃ	だだちゃ	【お父さん・親父】	おとうさん	山形
なして	なして	【どうして・なぜ】	どうして	東北
こわい	こわい	【疲れた・だるい】	つかれた	北海道・東北
けっぱれ	けっぱれ	【がんばれ】	がんばれ	青森・北海道
もちょこちょい	もちょこちょい	【くすぐったい】	くすぐったい	宮城・岩手
ちょす	ちょす	【いじる・からかう】	いじる	東北
めんこい	めんこい	【かわいい】	かわいい	北海道・東北
うるかす	うるかす	【水に浸す】	みずにひたす	北海道・東北
ばくる	ばくる	【交換する】	こうかんする	北海道
なげる	なげる	【捨てる】	すてる	北海道・東北
ごんぼほる	ごんぼほる	【だだをこねる】	だだをこねる	青森
いったぎゃあ	言ったぎゃあ	【言いましたよ・言ったよ】	いいましたよ・いったよ	愛知（尾張）
いったがや	言ったがや	【言いましたよ・言ったよ】	いいましたよ・いったよ	愛知（尾張）
いったがね	言ったがね	【言いましたよ・言ったよ】	いいましたよ・いったよ	愛知（尾張）
いったじゃん	言ったじゃん	【言いましたよ・言ったよ】	いいましたよ・いったよ	愛知（三河）
そうだぎゃあ	そうだぎゃあ	【そうでしょう・そうだろう】	そうでしょう・そうだろう	愛知（尾張）
そうだがや	そうだがや	【そうでしょう・そうだろう】	そうでしょう・そうだろう	愛知（尾張）
そうだがね	そうだがね	【そうでしょう・そうだろう】	そうでしょう・そうだろう	愛知（尾張）
ほだらあ	ほだらあ	【そうでしょう・そうだろう】	そうでしょう・そうだろう	愛知（三河）
たべやあ	食べやあ	【食べなさい】	たべなさい	愛知（尾張）
たべりん	食べりん	【食べなさい】	たべなさい	愛知（三河）
はよいこまい	はよいこまい	【早く行きましょう・行こう】	はやくいきましょう・いこう	愛知（尾張・三河）
まわしする	まわし（を）する	【準備（を）する】	じゅんびする	愛知（尾張）
つくえをつる	机をつる	【机を運ぶ】	つくえをはこぶ	愛知（尾張・三河）
かぎをかう	鍵をかう	【鍵をかける】	かぎをかける	愛知（尾張・三河）
ほかる	（ごみを）ほかる	【（ごみを）捨てる】	すてる	愛知（尾張・三河）
みえる	（お客さんが）みえる	【いらっしゃる】	いらっしゃる	愛知（尾張・三河）
えらい	（体が）えらい	【疲れた】	つかれた	愛知（尾張・三河）
いかん	いかん	【だめだ】	だめだ	愛知（尾張・三河）
やらないかん	やらないかん	【やらなければならない】	やらなければならない	愛知（尾張・三河）
やらんといかん	やらんといかん	【やらなければならない】	やらなければならない	愛知（尾張・三河）
どえらい	どえらい〜	【大変〜・とても〜・すごく〜】	たいへん・とても・すごく	愛知（尾張）
どえりゃあ	どえりゃあ〜	【大変〜・とても〜・すごく〜】	たいへん・とても・すごく	愛知（尾張）
でえらあ	でえら〜	【大変〜・とても〜・すごく〜】	たいへん・とても・すごく	愛知（尾張）
ほんだで	ほんだで、〜	【だから、〜】	だから	愛知（尾張）
ほいだで	ほいだで、〜	【だから、〜】	だから	愛知（三河）
だもんで	だもんで〜	【だから、〜】	だから	愛知（三河）
たわけ	たわけ	【ばか】	ばか	愛知（尾張・三河）
たあけ	たあけ	【ばか】	ばか	愛知（尾張・三河）
あおぢ	あおぢ	【青あざ】	あおあざ	愛知（名古屋）
あかる	あかる	【こぼれる】	こぼれる	愛知（名古屋）
あったさん	あったさん	【熱田神宮】	あつたじんぐう	愛知（名古屋）
あっちゃこっちゃ	あっちゃこっちゃ	【反対・あべこべ】	はんたい・あべこべ	愛知（名古屋）
あまたらこい	あまたらこい	【甘すぎる】	あますぎる	愛知（名古屋）
あらすか	あらすか	【〜ない】	ない	愛知（名古屋）
あんき	あんき	【安心】	あんしん	愛知（名古屋）
あんた	あんた	【あなた】	あなた	愛知（名古屋）
あんばよう	あんばよう	【具合良く・うまく】	ぐあいよく・うまく	愛知（名古屋）
いい	いい	【しやすい】	しやすい	愛知（名古屋）
いかん	いかん	【だめ】	だめ	愛知（名古屋）
いざらかす	いざらかす	【動かす】	うごかす	愛知（名古屋）
いっつか	いっつか	【とっくに】	とっくに	愛知（名古屋）
いりゃあす	いりゃあす	【いらっしゃる】	いらっしゃる	愛知（名古屋）
いんちゃん	いんちゃん	【じゃんけん】	じゃんけん	愛知（名古屋）
ええて	ええて	【いいです】	いいです	愛知（名古屋）
えか	えか	【いいかい】	いいかい	愛知（名古屋）
えらい	えらい	【疲れる・しんどい】	つかれる・しんどい	愛知（名古屋）
おうじょうこく	おうじょうこく	【困る・苦労する】	こまる・くろうする	愛知（名古屋）
おうちゃく	おうちゃく	【なまける】	なまける	愛知（名古屋）
おそがい	おそがい	【恐ろしい】	おそろしい	愛知（名古屋）
おっさま	おっさま	【お坊さん】	おぼうさん	愛知（名古屋）
おぼこい	おぼこい	【子供っぽい・幼い】	こどもっぽい・おさない	愛知（名古屋）
おぼわる	おぼわる	【習得する】	しゅうとくする	愛知（名古屋）
かう	かう	【（鍵を）かける】	かける	愛知（名古屋）
かしゃん	かしゃん	【だろうか】	だろうか	愛知（名古屋）
かしらん	かしらん	【だろうか】	だろうか	愛知（名古屋）
かす	かす	【研ぐ】	とぐ	愛知（名古屋）
かまう	かまう	【面倒みる・いじめる】	めんどうみる・いじめる	愛知（名古屋）
かや	かや	【ですか】	ですか	愛知（名古屋）
がや	がや	【驚きを示す】	おどろきをしめす	愛知（名古屋）
がね	がね	【驚きを示す】	おどろきをしめす	愛知（名古屋）
からかす	からかす	【しほうだい・しまくる】	しほうだい・しまくる	愛知（名古屋）
かわす	かわす	【物が動かないように隙間に挟む】	ものがうごかないようにすきまにはさむ	愛知（名古屋）
かん	かん	【だめ】	だめ	愛知（名古屋）
かんかん	かんかん	【空き缶】	あきかん	愛知（名古屋）
かんこうする	かんこうする	【考える・工夫する】	かんがえる・くふうする	愛知（名古屋）
きいない	きいない	【黄色い】	きいろい	愛知（名古屋）
きちきち	きちきち	【窮屈】	きゅうくつ	愛知（名古屋）
きない	きない	【黄色い】	きいろい	愛知（名古屋）
くくる	くくる	【縛る】	しばる	愛知（名古屋）
くすねる	くすねる	【盗む】	ぬすむ	愛知（名古屋）
（かに）くわれる	（蚊に）くわれる	【（蚊に）刺される】	かにさされる	愛知（名古屋）
ケッタ	ケッタ	【自転車】	じてんしゃ	愛知（名古屋）
げな	げな	【そうだ】	そうだ	愛知（名古屋）
けなるい	けなるい	【うらやましい】	うらやましい	愛知（名古屋）
こく	こく	【言う・する】	いう・する	愛知（名古屋）
ござる	ござる	【いらっしゃる】	いらっしゃる	愛知（名古屋）
こそばい	こそばい	【くすぐったい】	くすぐったい	愛知（名古屋）
こっすい	こっすい	【ずるい】	ずるい	愛知（名古屋）
ごぶれいします	ごぶれいします	【失礼します】	しつれいします	愛知（名古屋）
こわい	こわい	【固い】	かたい	愛知（名古屋）
こわける	こわける	【壊れる】	こわれる	愛知（名古屋）
こわす	こわす	【崩す】	くずす	愛知（名古屋）
さぶい	さぶい	【寒い】	さむい	愛知（名古屋）
さむぼろ	さむぼろ	【鳥肌】	とりはだ	愛知（名古屋）
ざらいた	ざら板	【すのこ】	すのこ	愛知（名古屋）
したる	したる	【してある・してあげる】	してある・してあげる	愛知（名古屋）
してちょう	してちょう	【〜してください】	してください	愛知（名古屋）
してまう	してまう	【してもらう・してしまう】	してもらう・してしまう	愛知（名古屋）
しとる	しとる	【している】	している	愛知（名古屋）
しやあす	しやあす	【なさる】	なさる	愛知（名古屋）
しゃこう	車校	【自動車学校】	じどうしゃがっこう	愛知（名古屋）
ずっこい	ずっこい	【ずるい】	ずるい	愛知（名古屋）
せる	せる	【なさる】	なさる	愛知（名古屋）
せん	せん	【〜しない】	しない	愛知（名古屋）
だあだあぶり	だあだあ振り	【ひどい雨降り】	ひどいあめふり	愛知（名古屋）
たいがい	たいがい	【いいかげん・程々】	いいかげん・ほどほど	愛知（名古屋）
だだくさ	だだくさ	【雑に・無駄に】	ざつに・むだに	愛知（名古屋）
だちかん	だちかん	【だめ・役に立たない】	だめ・やくにたたない	愛知（名古屋）
だで	だで	【だから・なので】	だから・なので	愛知（名古屋）
だない	だない	【ではない】	ではない	愛知（名古屋）
だもんで	だもんで	【だから・なので】	だから・なので	愛知（名古屋）
たわけ	たわけ	【ばか・あほ】	ばか・あほ	愛知（名古屋）
たわけらしい	たわけらしい	【ばかばかしい・無意味な】	ばかばかしい・むいみな	愛知（名古屋）
たんび	たんび	【〜の度に】	〜のたびに	愛知（名古屋）
ちいと	ちいと	【ちょっと】	ちょっと	愛知（名古屋）
ちゃっと	ちゃっと	【すぐに・急いで】	すぐに・いそいで	愛知（名古屋）
ちょうす	ちょうす	【下さる】	くださる	愛知（名古屋）
ちょうすいとる	ちょうすいとる	【威張る・調子に乗っている】	いばる・ちょうしにのっている	愛知（名古屋）
ちょうらかす	ちょうらかす	【ごまかす】	ごまかす	愛知（名古屋）
ちんちん	ちんちん	【熱い】	あつい	愛知（名古屋）
つかいさし	つかいさし	【残り】	のこり	愛知（名古屋）
つくねる	つくねる	【無造作に積み上げられた状態】	むぞうさにつみあげられたじょうたい	愛知（名古屋）
つっと	つっと	【すぐに・すんなりと・簡単に】	すぐに・すんなりと・かんたんに	愛知（名古屋）
つる	つる	【運ぶ】	はこぶ	愛知（名古屋）
つれ	連れ	【仲間・身内】	なかま・みうち	愛知（名古屋）
でら	でら	【ものすごい】	ものすごい	愛知（名古屋）
と	と	【そうだ】	そうだ	愛知（名古屋）
どえらい	どえらい	【ものすごい】	ものすごい	愛知（名古屋）
ときんときん	ときんときん	【尖っている】	とがっている	愛知（名古屋）
どべ	どべ	【最後・ビリ】	さいご・びり	愛知（名古屋）
とろい	とろい	【ばか・鈍い・ぼーっとしている】	ばか・にぶい・ぼーっとしている	愛知（名古屋）
とろくさい	とろくさい	【ばかばかしい・あほらしい】	ばかばかしい・あほらしい	愛知（名古屋）
なぶる	なぶる	【触る】	さわる	愛知（名古屋）
なも	なも	【ですね】	ですね	愛知（名古屋）
なんだしらん	なんだしらん	【なんだかよくわからないけど】	なんだかよくわからないけど	愛知（名古屋）
にすい	にすい	【緩い・弱い・鈍い】	ゆるい・よわい・にぶい	愛知（名古屋）
ぬくとい	ぬくとい	【温かい】	あたたかい	愛知（名古屋）
ねぶる	ねぶる	【なめる】	なめる	愛知（名古屋）
のうなる	のうなる	【なくなる・紛失する】	なくなる・ふんしつする	愛知（名古屋）
ぱーぱー	ぱーぱー	【開けっ放し】	あけっぱなし	愛知（名古屋）
はさかる	はさかる	【挟まる】	はさまる	愛知（名古屋）
ばっか	ばっか	【ばかり】	ばかり	愛知（名古屋）
はば	はば	【除け者・仲間はずれ】	のけもの・なかまはずれ	愛知（名古屋）
はよ	はよ	【早く】	はやく	愛知（名古屋）
びーし	B紙	【B0サイズの紙】	ビーゼロサイズのかみ	愛知（名古屋）
ぴい	ぴい	【ちょき】	ちょき	愛知（名古屋）
ひしゃける	ひしゃける	【潰れる】	つぶれる	愛知（名古屋）
びたびた	びたびた	【びっしょり濡れる】	びっしょりぬれる	愛知（名古屋）
ひっつく	ひっつく	【張り付く】	はりつく	愛知（名古屋）
ふちっこ	ふちっこ	【はしっこ】	はしっこ	愛知（名古屋）
ぼう	ぼう	【追う・追いかける】	おう・おいかける	愛知（名古屋）
ほうか	ほうか	【休み時間】	やすみじかん	愛知（名古屋）
ほうか	ほうか	【そうか】	そうか	愛知（名古屋）
ほうだがね	ほうだがね	【そうだよ】	そうだよ	愛知（名古屋）
ほかる	ほかる	【捨てる】	すてる	愛知（名古屋）
ぼっさい	ぼっさい	【古ぼけた・ぼろぼろ】	ふるぼけた・ぼろぼろ	愛知（名古屋）
ぼろ	ぼろ	【湿疹】	しっしん	愛知（名古屋）
ほんだで	ほんだで	【だから】	だから	愛知（名古屋）
まあ	まあ	【もう】	もう	愛知（名古屋）
まい	まい	【〜しよう】	〜しよう	愛知（名古屋）
まっつぁかや	まっつぁかや	【松坂屋】	まつざかや	愛知（名古屋）
まっと	まっと	【もっと】	もっと	愛知（名古屋）
まっぺん	まっぺん	【もう一度】	もういちど	愛知（名古屋）
まわし	まわし	【準備・支度】	じゅんび・したく	愛知（名古屋）
みえる	みえる	【いらっしゃる】	いらっしゃる	愛知（名古屋）
めいえき	名駅	【名古屋駅】	なごやえき	愛知（名古屋）
めいだい	名大	【名古屋大学】	なごやだいがく	愛知（名古屋）
めちゃんこ	めちゃんこ	【めちゃくちゃ】	めちゃくちゃ	愛知（名古屋）
めっそ	めっそ	【目分量】	めぶんりょう	愛知（名古屋）
めんぼ	めんぼ	【ものもらい】	ものもらい	愛知（名古屋）
もうはい	もうはい	【もう・すでに】	もう・すでに	愛知（名古屋）
もうやっこ	もうやっこ	【共同所有】	きょうどうしょゆう	愛知（名古屋）
もろ	もろ	【全部・まるごと】	ぜんぶ・まるごと	愛知（名古屋）
もん	もん	【物】	もの	愛知（名古屋）
やぐい	やぐい	【強度が弱い】	きょうどがよわい	愛知（名古屋）
やけずる	やけずる	【火傷する】	やけどする	愛知（名古屋）
やせん	やせん	【〜しない】	〜しない	愛知（名古屋）
やっとかめ	やっとかめ	【久しぶり】	ひさしぶり	愛知（名古屋）
ようけ	ようけ	【たくさん】	たくさん	愛知（名古屋）
ようさん	ようさん	【たくさん】	たくさん	愛知（名古屋）
よった	よった	【〜した】	〜した	愛知（名古屋）
よばれる	よばれる	【ご馳走になる】	ごちそうになる	愛知（名古屋）
らっせる	らっせる	【いらっしゃる】	いらっしゃる	愛知（名古屋）
りゃあす	りゃあす	【（〜して）いらっしゃる】	（〜して）いらっしゃる	愛知（名古屋）
わや	わや	【台無し】	だいなし	愛知（名古屋）
あかん	あかん	【だめだ・効果がない・むだ】	だめだ・こうかがない・むだ	京都
あかん	あかん	【してはいけない】	してはいけない	京都
あがる	あがる	【北へ行く】	きたへいく	京都
あじない	あじない	【食べ物がまずい・おいしくない】	たべものがまずい・おいしくない	京都
あて	あて	【私】	わたし	京都
あまえた	あまえた	【甘えん坊】	あまえんぼう	京都
いか	いか	【凧】	たこ	京都
いきし・いきしな	いきし・いきしな	【行きがけ】	いきがけ	京都
いちびる	いちびる	【調子に乗る・調子に乗ってふざける】	ちょうしにのる・ちょうしにのってふざける	京都
いらう	いらう	【物に触る・いじる】	ものにさわる・いじる	京都
いらち	いらち	【せかせかして落ち着きのない人・せっかちな人】	せかせかしておちつきのないひと・せっかちなひと	京都
いらやき	いらやき	【生焼け】	なまやけ	京都
うち	うち	【私】	わたし	京都
〜え	〜え	【〜よ・軽く念を押す】	〜よ・かるくねんをおす	京都
えずく	えずく	【吐き気をもよおす・嘔吐する・吐く】	はきけをもよおす・おうとする・はく	京都
えらい	えらい	【ずいぶん・大層】	ずいぶん・たいそう	京都
えんばんと	えんばんと	【あいにく・折り悪しく】	あいにく・おりあしく	京都
おあげさん	おあげさん	【油揚げ】	あぶらあげ	京都
おいいる	おいいる	【おっしゃる】	おっしゃる	京都
おくどさん	おくどさん	【かまど】	かまど	京都
おさがり	おさがり	【雨降り】	あめふり	京都
おさがり	おさがり	【神仏への供え物を下げたもの】	しんぶつへのそなえものをさげたもの	京都
〜おし・〜よし	〜おし・〜よし	【〜なさい】	〜なさい	京都
おす	おす	【ございます】	ございます	京都
おてしょー	おてしょー	【小皿・手塩皿】	こざら・てしおざら	京都
おてまいり	おてまいり	【手間のかかること】	てまのかかること	京都
おばんざい	おばんざい	【ふだんの日のお惣菜】	ふだんのひのおそうざい	京都
お〜やす	お〜やす	【〜なさいます】	〜なさいます	京都
かざ	かざ	【香・におい】	かおり・におい	京都
かちん・おかちん	かちん・おかちん	【餅】	もち	京都
かなん	かなん	【いやだ・困る】	いやだ・こまる	京都
かんこくさい	かんこくさい	【きなくさい・こげくさい】	きなくさい・こげくさい	京都
きさんじ	きさんじ	【気楽】	きらく	京都
きなしぼ	きなしぼ	【やる気のない人】	やるきのないひと	京都
きばる	きばる	【がんばる】	がんばる	京都
きょーび	きょーび	【いまどき・近頃・最近】	いまどき・ちかごろ・さいきん	京都
けなるい	けなるい	【うらやましい】	うらやましい	京都
こげつき	こげつき	【祖父以来長くその土地に住んでいること】	そふいらいながくそのとちにすんでいること	京都
こたち	こたち	【他人の子】	たにんのこ	京都
こないだうち	こないだうち	【このあいだ・先だって】	このあいだ・せんだって	京都
こーとな	こーとな	【地味で上品な】	じみでじょうひんな	京都
さかい（に）	さかい（に）	【〜から】	〜から	京都
〜し	〜し	【〜から・〜ので】	〜から・〜ので	京都
〜しか	〜しか	【〜より】	〜より	京都
しまつする	しまつする	【節約する・倹約する】	せつやくする・けんやくする	京都
しんきくさい	しんきくさい	【もどかしい・じれったい】	もどかしい・じれったい	京都
しんどい	しんどい	【くたびれている】	くたびれている	京都
しんどい	しんどい	【骨が折れる・大変である】	ほねがおれる・たいへんである	京都
すもじ	すもじ	【すしを丁寧に言う語】	すしをていねいにいうご	京都
たく	たく	【煮る】	にる	京都
つろくする	つろくする	【調和がとれる】	ちょうわがとれる	京都
てんご	てんご	【悪ふざけ・いたずら】	わるふざけ・いたずら	京都
〜とーみ	〜とーみ	【〜してごらん・〜してごらんなさい】	〜してごらん・〜してごらんなさい	京都
なおす	なおす	【しまう・片づける】	しまう・かたづける	京都
なむなむ	なむなむ	【まずまず・まあまあ】	まずまず・まあまあ	京都
におぐ	におぐ	【匂いを嗅ぐ】	においをかぐ	京都
のく	のく	【どく・よける】	どく・よける	京都
〜はる	〜はる	【補助動詞・尊敬・丁寧の意】	ほじょどうし・そんけい・ていねいのい	京都
はんなり	はんなり	【明るくて上品な】	あかるくてじょうひんな	京都
へんねし	へんねし	【すねること・ねむたいこと】	すねること・ねむたいこと	京都
ほかす	ほかす	【捨てる】	すてる	京都
ほたえる	ほたえる	【ふざけて騒ぐ・暴れる】	ふざけてさわぐ・あばれる	京都
ほっこりする	ほっこりする	【ほっとする】	ほっとする	京都
ほんま	ほんま	【本当・真実】	ほんとう・しんじつ	京都
まったり	まったり	【やわらかくおだやか】	やわらかくおだやか	京都
まどす	まどす	【弁償する】	べんしょうする	京都
むしやしない	むしやしない	【食間の軽い食べ物】	しょっかんのかるいたべもの	京都
もみない	もみない	【味ない・おいしくない】	あじない・おいしくない	京都
もらいずて	もらいずて	【贈り物をもらってお返しをしないこと】	おくりものをもらっておかえしをしないこと	京都
やにこい	やにこい	【壊れやすい・ひ弱い】	こわれやすい・ひよわい	京都
よめいり	よめいり	【貰い物をたらい回しにすること】	もらいものをたらいまわしにすること	京都
わらける	わらける	【つい笑ってしまう】	ついわらってしまう	京都
ぎょーさん	ぎょーさん	【たくさん】	たくさん	京都
ぐつわるい	ぐつわるい	【都合が悪い】	つごうがわるい	京都
だんない	だんない	【さしつかえない】	さしつかえない	京都
〜どす	〜どす	【〜です】	〜です	京都
ぶっちゃけたはなし	ぶっちゃけたはなし	【打ち明けた話・ほんとのところ】	うちあけたはなし・ほんとのところ	京都
べべたこ	べべたこ	【びり・最下位】	びり・さいかい	京都
あかん	あかん	【だめだ・役に立たない】	だめだ・やくにたたない	京都
あこ	あこ	【あそこ】	あそこ	京都
あったこ	あったこ	【暖かく】	あたたかく	京都
あないして	あないして	【あのようにして】	あのようにして	京都
あめさん	あめさん	【飴（女性語）】	あめ（じょせいご）	京都
あらくたい	あらくたい	【荒っぽい・手荒】	あらっぽい・てあら	京都
あやかまっさんどした	あやかまっさんどした	【お騒がせしました】	おさわがせしました	京都
あんじょー	あんじょー	【上手に】	じょうずに	京都
いきる	いきる	【調子にのる】	ちょうしにのる	京都
いけず	いけず	【意地悪】	いじわる	京都
いちげんさん	いちげんさん	【その店にとって初めての客】	そのみせにとってはじめてのきゃく	京都
いちびる	いちびる	【調子にのる】	ちょうしにのる	京都
いーひん	いーひん	【いない】	いない	京都
いらう	いらう	【触る・もてあそぶ】	さわる・もてあそぶ	京都
いらち	いらち	【落ち着きのない】	おちつきのない	京都
うつらはる	うつらはる	【似合っておられる】	にあっておられる	京都
うつる	うつる	【似合う・調和する】	にあう・ちょうわする	京都
えーにょーぼー	えーにょーぼー	【いい女・美人】	いいおんな・びじん	京都
えげつない	えげつない	【ひどい】	ひどい	京都
えずくろしい	えずくろしい	【くどくどしい】	くどくどしい	京都
えんばんと	えんばんと	【あいにく】	あいにく	京都
おいた	おいた	【かまぼこ】	かまぼこ	京都
おいでやす	おいでやす	【いらっしゃい】	いらっしゃい	京都
おいど	おいど	【おしり】	おしり	京都
おいない	おいない	【おいでなさい】	おいでなさい	京都
おいなり	おいなり	【いらっしゃいよ】	いらっしゃいよ	京都
おおきに	おおきに	【ありがとう】	ありがとう	京都
おかちょ	おかちょ	【蚊帳】	かや	京都
おかぼ	おかぼ	【かぼちゃ】	かぼちゃ	京都
おきばりやす	おきばりやす	【がんばってください】	がんばってください	京都
おくれやす	おくれやす	【ください】	ください	京都
おくたぶれさんどした	おくたぶれさんどした	【おつかれさまでした】	おつかれさまでした	京都
おくちべっぴん	おくちべっぴん	【表面的には優雅だが裏がある】	ひょうめんてきにはゆうがだがうらがある	京都
おことーさんどす	おことーさんどす	【年末の挨拶】	ねんまつのあいさつ	京都
おしたじ	おしたじ	【醤油】	しょうゆ	京都
おしずかに	おしずかに	【ごゆっくり】	ごゆっくり	京都
おせたげる	おせたげる	【教えてあげる】	おしえてあげる	京都
おせな	おせな	【背中】	せなか	京都
おせんすになる	おせんすになる	【縁談がほぼまとまること】	えんだんがほぼまとまること	京都
おっさん	おっさん	【お坊さん】	おぼうさん	京都
おっちん	おっちん	【座る】	すわる	京都
おはようおかえり	おはようおかえり	【早く帰ってきてね】	はやくかえってきてね	京都
おばんざい	おばんざい	【お惣菜】	おそうざい	京都
おぶう	おぶう	【お茶】	おちゃ	京都
おべんちゃら	おべんちゃら	【お世辞】	おせじ	京都
おまん	おまん	【饅頭】	まんじゅう	京都
おやかまっさんどした	おやかまっさんどした	【お邪魔しました・お騒がせしてすみませんでした】	おじゃましました・おさわがせしてすみませんでした	京都
おやすみやす	おやすみやす	【おやすみなさい】	おやすみなさい	京都
およばれだちですいません	およばれだちですいません	【ご飯だけ食べてすぐに帰ってしまう時の言葉】	ごはんだけたべてすぐにかえってしまうときのことば	京都
かぁ	〜かぁ	【〜してたんだよね・〜なんだよね】	〜してたんだよね・〜なんだよね	京都
かなんわぁ	かなんわぁ	【困ります】	こまります	京都
かにここ	かにここ	【わずかばかり】	わずかばかり	京都
かまへん	かまへん	【構わない・たいしたことない】	かまわない・たいしたことない	京都
かやくごはん	かやくごはん	【五目ご飯】	ごもくごはん	京都
かんにんえ	かんにんえ	【ごめん・許してほしい】	ごめん・ゆるしてほしい	京都
きずい	きずい	【わがまま】	わがまま	京都
きずつない	きずつない	【すまない・申し訳ない】	すまない・もうしわけない	京都
きばる	きばる	【頑張る】	がんばる	京都
きーひん	きーひん	【こない】	こない	京都
きやわるい	きやわるい	【気持ちが悪い】	きもちがわるい	京都
きんの	きんの	【昨日】	きのう	京都
けぇ	けぇ	【毛】	け	京都
けったいな	けったいな	【変な・おかしな】	へんな・おかしな	京都
こーて	こーて	【買って】	かって	京都
こーとな	こーとな	【地味で上品】	じみでじょうひん	京都
ごきんとはんに	ごきんとはんに	【ご丁寧に】	ごていねいに	京都
こちょばい	こちょばい	【くすぐったい】	くすぐったい	京都
こないだうち	こないだうち	【この間・先立って】	このあいだ・せんだって	京都
ごめんやす	ごめんやす	【ごめんください】	ごめんください	京都
ごんぼ	ごんぼ	【ごぼう】	ごぼう	京都
け	〜け	【〜しようか】	〜しようか	京都
さかい（に）	〜さかい（に）	【だから】	だから	京都
さがる	さがる	【南に行く】	みなみにいく	京都
さぶいぼ	さぶいぼ	【鳥肌が立つ】	とりはだがたつ	京都
さら	さら	【新品】	しんぴん	京都
ざんない	ざんない	【だらしない・くだらない】	だらしない・くだらない	京都
しかつい	しかつい	【真面目・しっかりしている】	まじめ・しっかりしている	京都
しばく	しばく	【たたく】	たたく	京都
しはる	〜しはる	【〜される】	〜される	京都
しぶちん	しぶちん	【お金を使わない人】	おかねをつかわないひと	京都
じゅんさいな	じゅんさいな	【いいかげんな・従順な】	いいかげんな・じゅうじゅんな	京都
しょーもない	しょーもない	【つまらない・くだらない】	つまらない・くだらない	京都
しんきくさい	しんきくさい	【じれったい・もどかしい】	じれったい・もどかしい	京都
しんどい	しんどい	【疲れる・つらい】	つかれる・つらい	京都
すかたん	すかたん	【見当外れ・的外れ】	けんとうはずれ・まとはずれ	京都
すこい	すこい	【ずるい】	ずるい	京都
ずし	図子（ずし）	【通り抜けられる道】	とおりぬけられるみち	京都
せつろしい	せつろしい	【きぜわしい】	きぜわしい	京都
せわしない	せわしない	【忙しい】	いそがしい	京都
せんぐり	せんぐり	【何回も】	なんかいも	京都
そやかて	そやかて	【だからといって】	だからといって	京都
だいじおへん	だいじおへん	【差し支えない】	さしつかえない	京都
だわすけ	だわすけ	【怠け者】	なまけもの	京都
たんと	たんと	【沢山】	たくさん	京都
ちゃいます	ちゃいます	【違います】	ちがいます	京都
ちゃんと	ちゃんと	【確かに】	たしかに	京都
ちょちょこばる	ちょちょこばる	【うずくまる・かがむ】	うずくまる・かがむ	京都
ちょろこい	ちょろこい	【簡単】	かんたん	京都
てれこ	てれこ	【さかさま・互い違い】	さかさま・たがいちがい	京都
どこいきどす	どこいきどす	【どこかへ出かける人への挨拶】	どこかへでかけるひとへのあいさつ	京都
どない	どない	【どんな・どのように】	どんな・どのように	京都
どなたさんもおさきどす	どなたさんもおさきどす	【お先に失礼します】	おさきにしつれいします	京都
とーみ	とーみ	【〜してごらん】	〜してごらん	京都
どやさ	どやさ	【どうですか？】	どうですか？	京都
どんつき	どんつき	【突き当たり】	つきあたり	京都
なおす	なおす	【しまう・片付ける】	しまう・かたづける	京都
なかなか	なかなか	【いえいえ】	いえいえ	京都
なんぎやなぁ	なんぎやなぁ	【困ったね】	こまったね	京都
にっちょ	にっちょ	【日曜】	にちよう	京都
にぬき	にぬき	【ゆで卵】	ゆでたまご	京都
はばかりさん	はばかりさん	【ご苦労様】	ごくろうさま	京都
はる	〜はる	【〜なさる】	〜なさる	京都
はん	はん	【〜さん】	〜さん	京都
はんなり	はんなり	【上品な明るさ・華やかな様子】	じょうひんなあかるさ・はなやかなようす	京都
ひませ	ひませ	【日数のへた食べ物】	にっすうのへたたべもの	京都
ひょ	〜ひょ	【〜しょう】	〜しょう	京都
ひん	〜ひん	【〜ない】	〜ない	京都
ぶっちゃけた	ぶっちゃけた	【正直な・本当の】	しょうじきな・ほんとうの	京都
ぶぶ	ぶぶ	【お茶】	おちゃ	京都
ぺちゃこい	ぺちゃこい	【平たい】	ひらたい	京都
べべ	べべ	【服】	ふく	京都
べんちゃら	べんちゃら	【お世辞】	おせじ	京都
へん	〜へん	【〜ない】	〜ない	京都
ほな	ほな	【そしたら】	そしたら	京都
ほたえる	ほたえる	【たわむれる・じゃれ合う】	たわむれる・じゃれあう	京都
ほっこりする	ほっこりする	【ほっとする・安堵感】	ほっとする・あんどかん	京都
まいまい	まいまい	【うろうろする】	うろうろする	京都
まったり	まったり	【とろんとした口当たり】	とろんとしたくちあたり	京都
まんま	まんま	【ご飯】	ごはん	京都
まんわるく	まんわるく	【運悪く】	うんわるく	京都
見とくれやす	見とくれやす	【ご覧ください】	ごらんください	京都
みとーみ	みとーみ	【見てください】	みてください	京都
むしゃない	むしゃない	【空腹をしのぐ】	くうふくをしのぐ	京都
もおてる	もおてる	【もらっている】	もらっている	京都
もた	もた	【〜してしまった】	〜してしまった	京都
もっさい	もっさい	【野暮ったい・垢抜けない】	やぼったい・あかぬけない	京都
